Mean,Std,Peak,Strong_Peak,Perc20,Perc80,QuartDev,Lab_sub,Start_time,end_time,Max,Min,dataQual,derivative,SessionID,SessionLabel,SessionLabel2,SessionLabel3,Device
0.437109383085,0.0281169930052,0.833333333333,0,0.412402212883,0.461686374833,0.0396926861403,9,1553602458.25,1553602578.25,0.484552114428,0.377192663027,0.0416666666667,-0.00118612956413,S9_1,1,2,1,A010C3
1.91206970094,0.280042435598,7.5,0,1.65738490165,2.22088878269,0.475101894758,9,1553603358.25,1553603478.25,2.60778069918,1.601415773,0,-0.0151063513312,S9_2,3,3,3,A010C3
1.60662523257,0.109991321853,7.5,0,1.48858069537,1.68052218489,0.137159415068,9,1553603418.25,1553603538.25,1.88104330603,1.40644334582,0,-0.00774714860851,S9_2,3,3,3,A010C3
1.35841165099,0.227796308931,5.83333333333,0,1.12909039098,1.60160236175,0.389514845569,9,1553603478.25,1553603598.25,1.75289144334,0.958938991815,0,-0.0132325408588,S9_2,3,3,3,A010C3
1.07116262302,0.131737781516,10,0,0.970594451104,1.18575385346,0.166931078736,9,1553603538.25,1553603658.25,1.41893940836,0.933163159046,0,-0.0074383955261,S9_2,3,3,3,A010C3
0.962587827427,0.0378674236718,10,0,0.935560482738,0.995785627031,0.0552005472818,9,1553603598.25,1553603718.25,1.01063410864,0.863005187262,0,-0.000473518547208,S9_2,3,3,3,A010C3
0.909465859794,0.184629500625,0,0,0.734609584188,1.08497127716,0.265723754545,9,1553603898.25,1553604018.25,1.30626751662,0.610446982202,0.0416666666667,-0.011597008907,S9_3,1,2,2,A010C3
0.652416583647,0.121424724942,0,0,0.534719842192,0.80566615441,0.230873662403,9,1553603958.25,1553604078.25,0.886257236307,0.481292334217,0,-0.00674941503484,S9_3,1,2,2,A010C3
0.532111042166,0.0403030489324,1.66666666667,0,0.496080756703,0.565387487591,0.0498370933499,9,1553604018.25,1553604138.25,0.625817623755,0.475933089977,0,-0.00244141096583,S9_3,1,2,2,A010C3
0.476473737261,0.0446582664249,1.66666666667,0,0.435043716304,0.521183716836,0.0643410670573,9,1553604078.25,1553604198.25,0.548207825339,0.396910577245,0,-0.00141181102963,S9_3,1,2,2,A010C3
0.401939637854,0.0452786320414,0.833333333333,0,0.365996154044,0.454950100944,0.0701421493591,9,1553604138.25,1553604258.25,0.481343654148,0.306777995376,0,-0.00198373780191,S9_3,1,2,2,A010C3
0.432325384175,0.12092253743,5,0,0.371836766715,0.48707314463,0.0546569012015,9,1553604318.25,1553604438.25,0.858457758549,0.316787787192,0,0.00801156856635,S9_4,1,2,0,A010C3
1.10000660779,0.633681341676,13.3333333333,0,0.405292451696,1.69000288947,1.22252831991,9,1553604378.25,1553604498.25,2.16143634673,0.380707141049,0.0416666666667,0.0213944361704,S9_4,1,2,0,A010C3
1.79195494604,0.305358299682,18.3333333333,0,1.5181942461,2.10467253278,0.490843547154,9,1553604438.25,1553604558.25,2.27858867553,1.13695843257,0,0.00760321518026,S9_4,1,2,0,A010C3
1.94062774511,0.357844457194,18.3333333333,0,1.66676061174,2.14304371246,0.388738662605,9,1553604498.25,1553604618.25,3.44101659015,1.2580327703,0.0416666666667,-0.0225260004688,S9_4,1,2,0,A010C3
2.64501390355,0.844024051497,18.3333333333,0,1.84382666338,3.4574134832,1.37828773966,9,1553604558.25,1553604678.25,4.37539365318,1.24562221542,0,0.0380083589834,S9_4,1,2,0,A010C3
0.245991376986,0.0185441107547,0,0,0.230046726543,0.260570978872,0.0238821849615,11,1553854303.75,1553854423.75,0.293245458824,0.206324030567,0,-0.00144869047095,S11_1,1,1,1,A010C3
0.21380541087,0.0194093797235,0,0,0.193045642959,0.234981256868,0.038908789925,11,1553854363.75,1553854483.75,0.244130245801,0.18604805783,0,-0.000968036466177,S11_1,1,1,1,A010C3
0.186815763218,0.0116667505472,0,0,0.172839300871,0.194670829297,0.0198248445722,11,1553854423.75,1553854543.75,0.213247716373,0.16994785399,0,-0.000721664373046,S11_1,1,1,1,A010C3
0.170092513493,0.00856793845177,0,0,0.162102878799,0.179198213027,0.0116157075075,11,1553854483.75,1553854603.75,0.186525356937,0.157240250131,0,-0.000438904769494,S11_1,1,1,1,A010C3
0.163674203873,0.0100969875087,0.833333333333,0,0.15633184652,0.168559901922,0.0110045992283,11,1553854543.75,1553854663.75,0.185853989835,0.144419926408,0,0.000162656255636,S11_1,1,1,1,A010C3
0.167251357593,0.0188189577633,1.66666666667,0,0.152894950827,0.176672342134,0.0204603856069,11,1553854903.75,1553855023.75,0.219729683412,0.146298048046,0,0.000213076126924,S11_2,1,2,3,A010C3
0.195397666758,0.0335592957768,4.16666666667,0,0.161086613712,0.234116604857,0.0623543456693,11,1553854963.75,1553855083.75,0.261239501018,0.155475861533,0,0.00174807262956,S11_2,1,2,3,A010C3
0.242958798398,0.0444724549354,3.33333333333,0,0.200427137402,0.284885687614,0.0585138319579,11,1553855023.75,1553855143.75,0.302096622372,0.15093338732,0,0.00167422633959,S11_2,1,2,3,A010C3
0.267597098557,0.0243921487989,1.66666666667,0,0.244861947029,0.287571777549,0.0366367728086,11,1553855083.75,1553855203.75,0.311004507055,0.207734430754,0,0.000672326449724,S11_2,1,2,3,A010C3
0.264911652927,0.0281415735044,0.833333333333,0,0.239795052266,0.287513477262,0.0416457014946,11,1553855143.75,1553855263.75,0.315033095337,0.202546844256,0,0.000363868653453,S11_2,1,2,3,A010C3
0.284818832796,0.0306257865888,0,0,0.258061520808,0.311634529668,0.0459419864224,11,1553855203.75,1553855323.75,0.368885619221,0.214555695617,0,0.000756726242562,S11_2,1,2,3,A010C3
0.406649345505,0.159344147159,6.66666666667,0,0.300118248795,0.495368153869,0.150225598377,11,1553855263.75,1553855383.75,0.842305117339,0.255072940373,0,0.00880384501398,S11_2,1,2,3,A010C3
1.16270147407,0.740389330641,17.5,0,0.41399810991,2.08403074236,1.58260286471,11,1553855323.75,1553855443.75,2.58075968945,0.312956736388,0.0416666666667,0.0369344094369,S11_2,1,2,3,A010C3
2.52871723448,0.794184741766,17.5,0,1.80028053338,3.33816683046,1.29728963215,11,1553855383.75,1553855503.75,3.49721479521,1.10314991612,0,0.0383930759832,S11_2,1,2,3,A010C3
3.20099114366,0.198044440064,10.8333333333,0,2.96805064735,3.40060175708,0.400366795943,11,1553855443.75,1553855563.75,3.48314547516,2.85734708883,0,-0.00224827714583,S11_2,1,2,3,A010C3
3.01788031433,0.239594769164,11.6666666667,0,2.86915660704,3.18166908561,0.189858336216,11,1553855503.75,1553855623.75,3.71398414307,2.47396650761,0,-0.0206669605909,S11_2,1,2,3,A010C3
2.84792617452,0.155186636831,12.5,0,2.76742473589,2.95864728372,0.152145284677,11,1553855563.75,1553855683.75,3.30132240931,2.46135665479,0,-0.00780011500102,S11_2,1,2,3,A010C3
2.6802870017,0.260625300401,9.16666666667,0,2.30854807737,2.89012944674,0.417074847045,11,1553855623.75,1553855743.75,2.96092894912,2.19485347881,0,-0.0100424565637,S11_2,1,2,3,A010C3
2.40959774947,0.331291315844,11.6666666667,0,2.09177170607,2.77498217283,0.570253763446,11,1553855683.75,1553855803.75,3.12097804143,1.89992873891,0,-0.00499402629134,S11_2,1,2,3,A010C3
2.30365308511,0.311320597393,8.33333333333,0,2.02453466596,2.6365892225,0.489791416872,11,1553855743.75,1553855863.75,2.88090134705,1.88504094029,0,-0.00559418385745,S11_2,1,2,3,A010C3
0.937137994689,0.148957741406,0,0,0.849789884447,1.07575265015,0.195438251078,11,1553855983.75,1553856103.75,1.1651975975,0.533611985317,0,-0.00556325359338,S11_3,1,1,2,A010C3
0.838196903896,0.0901416486905,0,0,0.74594669824,0.943921468776,0.164462121366,11,1553856043.75,1553856163.75,1.00216546335,0.695554591752,0,-0.00511018119327,S11_3,1,1,2,A010C3
0.70168344478,0.0672662536976,0,0,0.636985041083,0.771462174027,0.115361553569,11,1553856103.75,1553856223.75,0.827234141335,0.590864289591,0,-0.00393949752907,S11_3,1,1,2,A010C3
0.599294333961,0.0515093210734,0,0,0.548866413373,0.653687977847,0.0902041186368,11,1553856163.75,1553856283.75,0.693506434837,0.52306484144,0,-0.00284069322328,S11_3,1,1,2,A010C3
0.511640330399,0.0541964897787,0.833333333333,0,0.462309185721,0.554750653146,0.0718242503276,11,1553856223.75,1553856343.75,0.58969811035,0.379848322323,0,-0.00172487033113,S11_3,1,1,2,A010C3
1.03778805142,0.324078600248,6.66666666667,0,0.680191335324,1.33395943828,0.627328730992,11,1553856463.75,1553856583.75,1.48014636322,0.578304938561,0,0.012022711063,S11_4,1,1,0,A010C3
1.34701724767,0.148822276981,10.8333333333,0,1.23259470937,1.4663480507,0.173926833341,11,1553856523.75,1553856643.75,1.72041077706,1.12919144436,0.0416666666667,0.00424965045093,S11_4,1,1,0,A010C3
1.77489823539,0.482983201916,13.3333333333,0,1.25683282124,2.15570806373,0.833912860607,11,1553856583.75,1553856703.75,2.84656511652,1.09844303026,0,0.0242533091839,S11_4,1,1,0,A010C3
2.57602409042,0.532037701665,14.1666666667,0,2.06976046479,3.12012464444,0.883407414871,11,1553856643.75,1553856763.75,3.67936095421,1.83819482159,0,0.00965091842838,S11_4,1,1,0,A010C3
