SessionID,Mean,Peak,Perc20,Perc80,QuartDev,Std,Strong_Peak,dataQual,Max,Min,TwoClassLabel,ThreeClassLabel
11_5,0.281114223,2.124640805,0.080055173,0.512453535,0.338338921,0.278302439,0,0.094917385,0.620342118,-0.38822781,1,2
11_6,-0.00694317,1.642592593,-0.394636262,0.404370061,0.639532154,0.460962207,0.009259259,0.118148148,0.618156214,-0.992805212,3,2
11_7,-0.149853165,1.267730496,-0.418236242,0.118861011,0.431802389,0.319549969,0.002216312,0.086768617,0.446860262,-0.791600643,1,2
11_8,0.616881043,3.016781083,0.37550869,0.865038928,0.397297814,0.296368612,0.129672006,0.07141495,1.119044285,-0.001257515,1,1
11_9,0.767129158,4.019444444,0.511616262,1.043375171,0.417141799,0.334041752,0.188888889,0.06875,1.235104129,-0.016972729,1,1
12_1,3.525238664,4.75,2.730377168,4.899429221,1.738200496,1.363065795,0.833333333,0.0125,5.515764057,0.983751312,1,2
12_10,0.323763703,2.542028986,-0.116951246,0.755351633,0.684333797,0.490929204,0.04057971,0.081086957,1.123825267,-0.663510784,3,2
12_11,0.166786456,0.713213213,0.09233071,0.258629863,0.125775439,0.122339058,0,0.095720721,0.288727053,-0.167388608,3,2
12_13,0.633177631,4.767759563,0.103986199,1.172556561,0.841791076,0.64618881,0.833333333,0.164617486,1.918416759,-0.703151335,3,2
12_14,0.566783831,2.708333333,0.394873082,0.735536873,0.270538738,0.18684076,0,0.107638889,0.95753138,0.191120143,3,3
12_15,-1.173544271,3.769017981,-2.60944781,0.234428509,2.315189025,1.581514742,0.096818811,0.534578147,1.946006947,-4.09038777,3,2
12_17,0.098675196,0.6,-0.052110408,0.280334976,0.264101934,0.201741383,0,0.120714286,0.364008927,-0.353593928,1,2
12_19,1.224973069,5.857438017,0.660882328,1.808307227,0.902762261,0.67020813,0.057392103,0.188360882,2.246115651,-0.235621461,1,2
12_2,16.63207655,11,15.59918046,17.78888082,1.728765867,1.426078257,0.472222222,0.005555556,18.60336653,13.29783515,3,2
12_20,-0.416812583,4.451219512,-1.44185281,0.585898263,1.666012499,1.119972924,0.254065041,0.18648374,1.480064908,-2.53188378,3,3
12_22,-0.034946743,1.261510129,-0.374703745,0.327909778,0.587617316,0.386756421,0.032228361,0.078499079,0.510676332,-0.836878058,1,2
12_24,0.240742437,1.217948718,0.194676525,0.289783486,0.072037765,0.062682221,0,0.016826923,0.31583186,0.094536732,1,2
12_25,0.153221916,2.03125,0.051910196,0.247356049,0.152564293,0.107220252,0,0.067708333,0.295124176,-0.093868117,1,2
12_27,0.191104573,2.358523119,-0.255438261,0.642835767,0.713770162,0.520476696,0.124223602,0.083678399,0.953667941,-0.916825291,1,2
12_3,22.42007496,9.666666667,20.81342435,24.02670622,2.699952557,1.678554464,1.833333333,0,25.14531556,19.49563982,3,3
12_4,22.44394609,11.45833333,18.38412513,26.49002242,6.920212555,4.092374756,3.125,0.010416667,29.99973249,14.7708472,1,2
12_5,0.637256571,3.68466899,0.311005996,0.989765404,0.546431771,0.424974907,0.023228804,0.087688734,1.233969114,-0.329355936,3,3
12_6,0.138494153,1.229166667,-0.068247288,0.359280589,0.337639561,0.261966106,0,0.089236111,0.465296305,-0.479977099,3,2
12_7,0.466536055,3.112820513,0.220418148,0.732017689,0.391094073,0.338848507,0.051282051,0.119487179,0.957043802,-0.338548901,3,3
12_9,-0.435778207,3.407960199,-1.273961564,0.330257502,1.30610439,0.879872283,0.074626866,0.151741294,1.089206923,-2.066028532,3,2
13_1,0.183105121,0,0.178128533,0.188173489,0.007937724,0.005539364,0,0,0.191625397,0.173086542,1,1
13_10,0.639537141,3.900226757,0.402967341,0.89087348,0.391893324,0.300791035,0.272108844,0.129535147,1.161929212,-0.041762017,1,1
13_19,0.965469598,5.58411215,0.739364536,1.19217118,0.357273404,0.279413622,0.046728972,0.051791277,1.365419211,0.313413902,1,2
13_2,1.003585407,5.944444444,0.924295993,1.072692175,0.126918736,0.07743669,0,0,1.134184472,0.864694421,1,2
13_25,-0.065329051,2.958333333,-0.42710767,0.372136858,0.656532432,0.479395398,0,0.122916667,0.666843745,-1.106364467,1,2
