SessionID,Mean,Peak,Perc20,Perc80,QuartDev,Std,Strong_Peak,dataQual,Max,Min,SessionLabel,SessionLabel2,Lab_sub,derivative
S4_7,0.03933014811905714,0.9523809523812857,0.01616416984854857,0.06192091584955713,0.034821201369042855,0.0260780940799,0.0,0.05357142857142857,0.0837454427973143,-0.016256924455525144,3,3,4,-0.00029131743057842863
S5_10,0.17271756581399522,1.5877712031559297,0.0755561355956825,0.2983754768766834,0.1684723566513036,0.17158378605050098,0.009861932938852071,0.03476331360947574,0.36381845659841416,-0.2590588162699691,1,2,5,-0.002026543361637241
S5_11,0.5853178282178342,5.3556910569097385,0.23557229997562043,0.967453174082162,0.5884511082255318,0.46981484453786126,0.0,0.07926829268292927,1.2819509029917073,-0.5028772532126163,1,1,5,-0.008150315900126343
S5_13,0.22466624568274104,3.1002824858759124,0.06357974742136839,0.39631852562444814,0.23202883137923555,0.2348099575527579,0.0,0.052966101694938136,0.5058397910678762,-0.3753760660171167,3,3,5,-0.003237271470945012
S5_14,0.08096991318651643,1.3131313131312858,0.012052893372882153,0.16718426506915338,0.12200075118686862,0.11876603582270968,0.01010101010100606,0.02626262626262363,0.22929603679025157,-0.2276872625361772,1,2,5,-0.0013540335617156299
S5_15,1.0271459854462297,0.4398148148148558,1.0046521649773348,1.0532707589799735,0.04022178058598107,0.029211327109120565,0.0,0.007407407407410001,1.0688149352211507,0.9705908170223517,1,2,5,0.0005705986733334366
S5_16,0.11164986768885735,0.5666666666668534,0.09148920533515688,0.14228327438845398,0.037959882856991076,0.042259473578493856,0.0,0.011666666666668667,0.16061763124526937,-0.007273970372529126,1,2,5,-0.0006256740580798688
S5_17,0.1372145739783463,0.8611111111116224,0.12069422416253521,0.16040127789291225,0.03195497094961921,0.03024508266770172,0.0,0.004861111111111668,0.1799451196606727,0.058384321157663024,3,2,5,-0.00020968159442469206
S5_18,0.3070232049693166,2.587962962962945,0.2522516691235091,0.3807230701436564,0.10104335003950353,0.08982464142558336,0.0,0.011805555555551668,0.41627642599118664,0.08898345212153327,3,2,5,-0.0008585179137517057
S5_19,0.3339990586296791,3.219373219373239,0.1802220732012693,0.5088885372635621,0.25985579544894033,0.21485853411490108,0.0,0.0377492877492829,0.6522382780278505,-0.1668233063392891,1,2,5,-0.0037694344297334948
S5_20,0.9694575854015322,6.874999999997358,0.8510923015008464,1.1131662227671,0.22645766870779355,0.15812343029280607,0.0,0.011904761904764286,1.2386022774188319,0.6462334763264215,1,2,5,0.0038309770118456743
S5_21,1.4056553926972342,9.196078431371065,0.3522960811722059,2.4883608084189173,1.6837503316586,1.198257540556376,0.2058823529414,0.12058823529411178,3.1468462305660583,-1.1657816037659807,1,2,5,-0.027005243253915942
S5_22,1.7350982278687657,7.013108614233394,1.4198099447648078,2.113498836376571,0.5764589527040981,0.45816133216907456,0.03745318352058427,0.09176029962545616,2.5282158147799607,0.6688744763876332,3,3,5,-0.010151058980690655
